Stadtteil;B_Bev;B_Bev18;B_Bev18_rel;B_Bev65;B_Bev65_rel;B_BevAusl;B_BevAusl_rel;B_BevMigr;B_BevMigr_rel;B_BevMigr18;B_BevMigr18_rel;H_Haushalt;H_HaushaltPers;H_EinpersHaushalte;H_EinpersHaushalte_rel;H_KindHaushalte;H_KindHaushalte_rel;H_Alleinerziehende;H_Alleinerziehende_rel;F_Flaeche;F_BevDichte;E_Geburten;E_Sterbefaelle;E_Zuzuege;E_Fortzuege;E_WanderungsSaldo;A_SozVersBeschaeftigte;A_Beschaeftigte_rel;A_Arbeitslose;A_Arbeitslose_rel;A_JungeArbeitslose;A_JungeArbeitslose_rel;A_AlteArbeitslose;A_AlteArbeitslose_rel;L_LeistungsemSGB;L_LeistungsemSGB_rel;L_Mindestsich15;L_Mindestsich15_rel;L_BedarfsgemSGB;L_Grundsich65;L_Grundsich65_rel;W_Wohngebaeude;W_Wohnungen;W_WohnungenBezugsf;W_WohnungenEinZweiFH;W_WohnungenEinZweiFH_rel;W_Wohnungsgroesse;W_WohnflaecheEinw;W_Sozialwohnungen;W_Sozialwohnungen_rel;W_SozialwohnungenBindungsauslauf;W_SozialwohnungenBindungsauslauf_rel;W_PreiseGrundstuecke;W_PreiseEinZweiFH;W_PreiseEigentumsW;VS_Kindergaerten;VS_Grundschulen;VS_SchuelerSek1;VS_SchuelerStadtteilschulen_rel;VS_SchuelerGymnasien_rel;VA_Aerzte;VA_Allgemeinaerzte;VA_Zahnaerzte;VA_Apotheken;P_PrivatePKW;P_PKWDichte;P_ElektroPKW
Lokstedt;28793;4837;16.8;5842;20.3;3985;13.8;8590;29.8;2042;42.3;15731;1.8;8562;54.4;2980;18.9;597;20.0;4.9;5881;343;325;3522;3226;296;11530;61.5;667;3.6;49;1.7;119;4.0;1724;6.0;424;10.1;926;409;7.0;3221;15138;250;2147;14.2;74.5;39.2;180;1.2;49;27.2;819;5288;4580;23;3;1360;34.3;60.5;61;17;18;6;9562;332;25
Niendorf;40717;6270;15.4;10757;26.4;3500;8.6;8583;21.1;2120;33.9;21908;1.9;10562;48.2;3971;18.1;798;20.1;12.4;3279;353;495;3643;4404;-761;15718;63.6;716;2.9;43;1.2;178;3.3;1345;3.3;299;5.7;817;333;3.1;8585;20957;144;7411;35.4;85.9;44.2;307;1.5;120;39.1;622;4418;3335;20;5;2011;35.3;62.7;93;27;37;8;17437;428;36
Schnelsen;29300;5489;18.7;5960;20.3;3774;12.9;9193;31.4;2561;46.8;14472;2.0;6382;44.1;3276;22.6;807;24.6;9.0;3273;283;293;3001;3208;-207;11448;61.0;815;4.3;61;1.9;146;3.8;2514;8.6;828;18.1;1148;331;5.6;5895;13756;345;5365;39.0;88.6;41.6;1713;12.5;602;35.1;562;3743;3146;25;4;1759;54.9;42.0;53;15;26;6;12197;416;20
Eidelstedt;33421;5716;17.1;7176;21.5;6186;18.5;12743;38.1;3338;58.6;17445;1.9;8661;49.6;3314;19.0;837;25.3;8.7;3832;337;373;3772;2895;877;12776;59.8;1056;4.9;106;3.2;164;4.0;3571;10.7;1044;21.4;1778;554;7.7;5125;16011;98;4422;27.6;75.4;36.1;1307;8.2;446;34.1;530;3719;3209;10;5;1650;57.2;39.5;54;15;21;6;11560;346;14
Stellingen;26185;3747;14.3;4827;18.4;5024;19.2;9052;34.6;1874;50.3;14791;1.7;8511;57.5;2290;15.5;532;23.2;6.1;4300;308;279;4018;3640;378;11247;62.3;846;4.7;76;2.8;145;5.1;1963;7.5;472;14.3;1201;338;7.0;2801;14062;232;1691;12.0;69.7;37.4;172;1.2;82;47.7;570;4470;3884;11;3;966;44.0;49.3;37;12;9;3;8202;313;25
Hoheluft-Ost;9796;1307;13.3;1543;15.8;1054;10.8;2226;22.7;391;30.0;6349;1.6;3965;62.5;910;14.3;209;23.0;0.6;17323;161;44;1272;1214;58;4441;62.5;176;2.5;;;35;3.2;290;3.0;41;3.6;223;108;7.0;630;6008;74;93;1.5;73.2;44.9;106;1.8;0;0.0;2565;;5807;6;1;319;19.7;78.4;202;48;21;3;3071;313;6
Eppendorf;24868;3446;13.9;4604;18.5;2462;9.9;5263;21.2;1016;29.6;15407;1.6;9534;61.9;2248;14.6;462;20.6;2.7;9316;350;208;3104;3084;20;10703;62.2;389;2.3;;;78;3.0;489;2.0;58;1.9;376;343;7.5;1637;14212;60;374;2.6;80.1;45.8;625;4.4;110;17.6;2905;7349;6296;13;3;916;18.4;78.4;162;28;46;10;7898;318;26
Groß Borstel;8734;1471;16.8;1809;20.7;1477;16.9;2521;28.9;584;39.9;4812;1.8;2691;55.9;817;17.0;199;24.4;4.0;2191;89;91;1912;1702;210;3207;56.4;230;4.0;15;1.7;48;4.3;581;6.7;127;10.3;377;174;9.6;1758;4452;9;1583;35.6;75.0;38.2;244;5.5;120;49.2;636;4812;3871;8;1;459;37.7;59.0;4;4;5;2;3165;362;14
Alsterdorf;15174;2560;16.9;2865;18.9;2055;13.5;4212;27.8;1073;42.1;8109;1.8;4413;54.4;1467;18.1;339;23.1;3.2;4809;193;196;1873;1725;148;5741;56.8;314;3.1;21;1.3;54;3.1;1033;6.8;337;15.4;504;153;5.3;2001;7823;97;1310;16.7;77.6;40.0;474;6.1;35;7.4;1018;6377;4709;11;0;737;38.3;57.0;38;8;9;5;5271;347;19
Winterhude;55900;7003;12.5;8155;14.6;6821;12.2;13681;24.4;2496;35.7;35932;1.6;23344;65.0;4670;13.0;1028;22.0;7.6;7370;715;383;7405;7455;-50;26703;64.3;1277;3.1;87;1.7;223;3.9;2232;4.0;413;6.7;1483;518;6.4;3671;33111;252;731;2.2;70.0;41.4;640;1.9;59;9.2;3277;6615;5878;42;5;1690;40.4;57.2;231;42;81;14;17638;316;61
Uhlenhorst;18736;2546;13.6;3505;18.7;2293;12.2;4864;26.0;1044;41.1;11642;1.6;7243;62.2;1622;13.9;293;18.1;2.2;8592;235;221;2823;2143;680;7924;61.2;348;2.7;17;1.3;60;3.0;482;2.6;96;4.2;318;173;4.9;1247;10864;135;297;2.7;79.1;45.8;179;1.6;0;0.0;3685;;6890;10;1;599;25.7;72.0;98;23;18;4;6385;341;27
Hohenfelde;10143;1288;12.7;1563;15.4;2057;20.3;3829;37.7;765;59.6;6426;1.5;4258;66.3;725;11.3;143;19.7;1.2;8784;143;104;1839;1781;58;4523;60.8;301;4.0;19;1.8;38;3.9;797;7.9;213;18.6;424;133;8.5;697;5809;41;151;2.6;67.7;38.7;89;1.5;0;0.0;1823;;4853;4;0;288;41.7;54.9;30;11;14;2;2734;270;10
Barmbek-Süd;35438;3760;10.6;4939;13.9;4845;13.7;9839;27.7;1734;46.3;24182;1.5;16652;68.9;2598;10.7;710;27.3;3.1;11462;428;330;5012;4919;93;18385;67.7;1065;3.9;72;2.2;187;5.4;2284;6.4;431;12.9;1528;469;9.5;2121;22242;101;117;0.5;59.2;37.2;715;3.2;0;0.0;1007;;4695;26;2;917;52.6;44.6;56;21;25;7;9983;282;37
Dulsberg;17429;2148;12.3;2199;12.6;3848;22.1;7640;43.9;1554;72.7;12045;1.5;8610;71.5;1344;11.2;566;42.1;1.2;14218;176;138;2260;2308;-48;8325;62.0;1025;7.6;85;4.1;182;9.8;2890;16.6;718;39.7;1681;452;20.6;1075;10760;17;40;0.4;53.3;32.9;873;8.1;369;42.3;917;;3415;8;1;686;72.6;24.3;25;7;8;3;3870;222;5
Barmbek-Nord;41886;4342;10.4;5471;13.1;5716;13.6;11703;27.9;2081;48.0;29250;1.5;20573;70.3;3007;10.3;835;27.8;3.9;10876;550;393;5664;5832;-168;22189;68.1;1585;4.9;112;2.8;244;5.7;3404;8.1;623;16.2;2314;592;10.8;2686;26754;46;278;1.0;56.7;36.2;1243;4.6;151;12.1;964;;4326;13;2;1028;59.7;36.8;106;30;42;11;11131;266;24
Ohlsdorf;16463;2737;16.6;2649;16.1;2015;12.2;4101;24.9;966;35.2;9277;1.8;5166;55.7;1681;18.1;348;20.7;7.2;2299;202;147;1910;1999;-89;6934;60.8;446;3.9;34;2.3;78;4.1;1083;6.6;263;10.9;646;114;4.3;2406;8692;378;1688;19.4;73.2;38.6;527;6.1;0;0.0;752;5069;3751;12;1;822;50.1;47.3;14;7;6;4;5631;342;14
Fuhlsbüttel;13384;2298;17.2;2513;18.8;2269;17.0;3657;27.3;999;43.7;7351;1.8;4009;54.5;1320;18.0;305;23.1;7.8;1722;125;123;2251;1561;690;5477;61.6;392;4.4;34;2.5;61;4.0;1323;9.9;445;22.6;617;158;6.3;2067;6854;108;1514;22.1;76.6;39.2;243;3.5;64;26.3;644;4549;3201;8;2;647;39.4;56.3;25;6;17;4;4787;358;24
